Algorithm,Input_Size,Input_Type,Time_Taken,Run
Bubble,100,Random,0.0009359169926028699,1
Insertion,100,Random,0.0003883330209646374,1
Merge,100,Random,0.00021366699365898967,1
Quick,100,Random,0.00012637500185519457,1
Bubble,100,Sorted,0.0005779170023743063,1
Insertion,100,Sorted,1.7292011762037873e-05,1
Merge,100,Sorted,0.00020924999262206256,1
Quick,100,Sorted,9.68750100582838e-05,1
Bubble,100,Reverse,0.001386332995025441,1
Insertion,100,Reverse,0.000731833977624774,1
Merge,100,Reverse,0.00017804099479690194,1
Quick,100,Reverse,9.783299174159765e-05,1
Bubble,100,Nearly Sorted,0.0005172090022824705,1
Insertion,100,Nearly Sorted,6.88339932821691e-05,1
Merge,100,Nearly Sorted,0.00016399999731220305,1
Quick,100,Nearly Sorted,9.495799895375967e-05,1
Bubble,100,Random,0.0008749999979045242,2
Insertion,100,Random,0.0003568749816622585,2
Merge,100,Random,0.0002445419959258288,2
Quick,100,Random,0.0001095420157071203,2
Bubble,100,Sorted,0.0004472500004339963,2
Insertion,100,Sorted,1.5165976947173476e-05,2
Merge,100,Sorted,0.0001611249754205346,2
Quick,100,Sorted,8.800000068731606e-05,2
Bubble,100,Reverse,0.001224084000568837,2
Insertion,100,Reverse,0.000679749995470047,2
Merge,100,Reverse,0.0001644160074647516,2
Quick,100,Reverse,9.295801282860339e-05,2
Bubble,100,Nearly Sorted,0.000470208004117012,2
Insertion,100,Nearly Sorted,3.454199759289622e-05,2
Merge,100,Nearly Sorted,0.00016283398144878447,2
Quick,100,Nearly Sorted,9.450002107769251e-05,2
Bubble,100,Random,0.0008881669782567769,3
Insertion,100,Random,0.0005942910211160779,3
Merge,100,Random,0.00020462501561269164,3
Quick,100,Random,0.00011937500676140189,3
Bubble,100,Sorted,0.00044329199590720236,3
Insertion,100,Sorted,1.550000160932541e-05,3
Merge,100,Sorted,0.0001667909964453429,3
Quick,100,Sorted,9.041701559908688e-05,3
Bubble,100,Reverse,0.001260333985555917,3
Insertion,100,Reverse,0.0006752919871360064,3
Merge,100,Reverse,0.0001573750050738454,3
Quick,100,Reverse,8.812500163912773e-05,3
Bubble,100,Nearly Sorted,0.0005240000027697533,3
Insertion,100,Nearly Sorted,7.095900946296751e-05,3
Merge,100,Nearly Sorted,0.000164708006195724,3
Quick,100,Nearly Sorted,0.00010199999087490141,3
Bubble,100,Random,0.0014053749910090119,4
Insertion,100,Random,0.0003726250142790377,4
Merge,100,Random,0.0001875000016298145,4
Quick,100,Random,0.00010441598715260625,4
Bubble,100,Sorted,0.0004462500219233334,4
Insertion,100,Sorted,1.4833000022917986e-05,4
Merge,100,Sorted,0.0001622909912839532,4
Quick,100,Sorted,9.537499863654375e-05,4
Bubble,100,Reverse,0.0012500409793574363,4
Insertion,100,Reverse,0.0007124159892555326,4
Merge,100,Reverse,0.00015791700570844114,4
Quick,100,Reverse,8.82500025909394e-05,4
Bubble,100,Nearly Sorted,0.00047537501086480916,4
Insertion,100,Nearly Sorted,4.112499300390482e-05,4
Merge,100,Nearly Sorted,0.00016120800864882767,4
Quick,100,Nearly Sorted,8.837500354275107e-05,4
Bubble,100,Random,0.000931707996642217,5
Insertion,100,Random,0.000373541988665238,5
Merge,100,Random,0.0001915419998113066,5
Quick,100,Random,0.00012133398558944464,5
Bubble,100,Sorted,0.00044166698353365064,5
Insertion,100,Sorted,1.4999997802078724e-05,5
Merge,100,Sorted,0.00019866699585691094,5
Quick,100,Sorted,0.00011316701420582831,5
Bubble,100,Reverse,0.0012858749832957983,5
Insertion,100,Reverse,0.0006914170226082206,5
Merge,100,Reverse,0.00016237498493865132,5
Quick,100,Reverse,9.029201464727521e-05,5
Bubble,100,Nearly Sorted,0.0004932919982820749,5
Insertion,100,Nearly Sorted,4.729200736619532e-05,5
Merge,100,Nearly Sorted,0.00016999998479150236,5
Quick,100,Nearly Sorted,9.541600593365729e-05,5
Bubble,500,Random,0.022224375017685816,1
Insertion,500,Random,0.009385166020365432,1
Merge,500,Random,0.0009530000097583979,1
Quick,500,Random,0.0006834589876234531,1
Bubble,500,Sorted,0.011177957989275455,1
Insertion,500,Sorted,7.80420086812228e-05,1
Merge,500,Sorted,0.001154957979451865,1
Quick,500,Sorted,0.00047633302165195346,1
Bubble,500,Reverse,0.03252958299708553,1
Insertion,500,Reverse,0.017257666011573747,1
Merge,500,Reverse,0.0009094169945456088,1
Quick,500,Reverse,0.0005167920025996864,1
Bubble,500,Nearly Sorted,0.012593708001077175,1
Insertion,500,Nearly Sorted,0.0011725829972419888,1
Merge,500,Nearly Sorted,0.0009196670143865049,1
Quick,500,Nearly Sorted,0.0005405840056482702,1
Bubble,500,Random,0.021803915995405987,2
Insertion,500,Random,0.008599249995313585,2
Merge,500,Random,0.0009319170203525573,2
Quick,500,Random,0.0006713749899063259,2
Bubble,500,Sorted,0.0107164999935776,2
Insertion,500,Sorted,7.070798892527819e-05,2
Merge,500,Sorted,0.0008631660020910203,2
Quick,500,Sorted,0.00048541699652560055,2
Bubble,500,Reverse,0.03229279100196436,2
Insertion,500,Reverse,0.01763008299167268,2
Merge,500,Reverse,0.0009508749935775995,2
Quick,500,Reverse,0.0004796670109499246,2
Bubble,500,Nearly Sorted,0.012335416016867384,2
Insertion,500,Nearly Sorted,0.0012357080122455955,2
Merge,500,Nearly Sorted,0.0011429580044932663,2
Quick,500,Nearly Sorted,0.0005911659973207861,2
Bubble,500,Random,0.025313332997029647,3
Insertion,500,Random,0.008875583007466048,3
Merge,500,Random,0.0009586249943822622,3
Quick,500,Random,0.0006901669839862734,3
Bubble,500,Sorted,0.011334792012348771,3
Insertion,500,Sorted,8.266698569059372e-05,3
Merge,500,Sorted,0.0008854579937178642,3
Quick,500,Sorted,0.0005217500147409737,3
Bubble,500,Reverse,0.03377966699190438,3
Insertion,500,Reverse,0.01693824998801574,3
Merge,500,Reverse,0.0008448750013485551,3
Quick,500,Reverse,0.0004841670161113143,3
Bubble,500,Nearly Sorted,0.01238491598633118,3
Insertion,500,Nearly Sorted,0.0012210829881951213,3
Merge,500,Nearly Sorted,0.0009057089919224381,3
Quick,500,Nearly Sorted,0.0005082919960841537,3
Bubble,500,Random,0.02130416699219495,4
Insertion,500,Random,0.0085074579983484,4
Merge,500,Random,0.0009387090103700757,4
Quick,500,Random,0.0006337499944493175,4
Bubble,500,Sorted,0.01074900000821799,4
Insertion,500,Sorted,7.054099114611745e-05,4
